,ORG_CTRY,GOV_LVL,FuncationalArea,POP_SIZE,InstitutionalizationLevel,ORG_SIZE,ImporvementMethodology,IMPL_PCT,EXP_YRS,COMP_AGO,ORG_EXP,ExperienceRole,RoleType
1,USA,City level,Legal/Public Reocrds,"58,000",Across all sub-units of the organization,Between 501 to 750 employees,Lean Six Sigma,81%-100%,16-20 years,More than 24 months ago,More than 6 years,Practitioner in an LGO,Member of the team that guided LP/LSS development and/or implementation
2,USA,City level,Finance and taxation,800000,Within multiple sub-units of the organization,"More than 1,000 employees",Lean Six Sigma,81%-100%,6-10 years,More than 24 months ago,More than 6 years,Practitioner in an LGO,Member of the team that guided LP/LSS development and/or implementation
3,USA,County,Healthcare,"210,000",Across all sub-units of the organization,Less than 100 employees,Lean Six Sigma,41%-60%,6-10 years,More than 24 months ago,Between 1 and 2 years,Practitioner in an LGO,Member of the team that guided LP/LSS development and/or implementation
4,USA,City level,Administration services,6000,Within multiple sub-units of the organization,Less than 100 employees,Lean Six Sigma,0-20%,1-5 years,More than 24 months ago,Between 3 and 4 years,Consultant,Consultant within the department or from other departments/units within the organization
5,USA,State level,Healthcare,2500,Within multiple sub-units of the organization,"More than 1,000 employees",Lean Six Sigma,41%-60%,More than 20 years,More than 24 months ago,Between 3 and 4 years,Practitioner in an LGO,External consultant
6,USA,City level,All/Multiple Funcational Area,"55,000",Across all sub-units of the organization,Between 501 to 750 employees,Lean Six Sigma,81%-100%,6-10 years,More than 24 months ago,Between 5 and 6 years,Practitioner in an LGO,Member of the team that guided LP/LSS development and/or implementation
7,USA,State level,School and education,600000,Within multiple sub-units of the organization,"More than 1,000 employees",Lean Six Sigma,61%-80%,11-15 years,Between 12 and 18 months ago,Between 3 and 4 years,Practitioner in an LGO,Consultant within the department or from other departments/units within the organization
8,USA,State level,Transportation,"3,400,000",Within a single sub-unit of the organization,"More than 1,000 employees",Six Sigma,0-20%,1-5 years,Less than 6 months ago,Between 3 and 4 years,Practitioner in an LGO,Top-level leader/ manager in the organization
9,USA,State level,Health and Human Services-enterprise wide,,Within a single sub-unit of the organization,"More than 1,000 employees","Lean Production with other general improvement
methodology",0-20%,11-15 years,Between 12 and 18 months ago,More than 6 years,Practitioner in an LGO,Top-level leader/ manager in the organization
10,,City level,Healthcare,100000,Within multiple sub-units of the organization,Between 251 to 500 employees,"Lean Production with other general improvement
methodology",41%-60%,NA,NA,NA,NA,NA
