"","Lasso","Ridge","ElasticNet","AdaptiveLasso"
"Transformational_success -> ORG_IMP_12",1.042,1.01,1.045,1.042
"Transformational_success -> STAKEH_ACC_4",0.934,0.906,0.937,0.934
"Transformational_success -> EMPL_SKI_8",0.966,0.935,0.968,0.966
"Transformational_success -> DEC_IMP_13",0.942,0.914,0.945,0.939
"Transformational_success -> BUSI_IMP_11",0.951,0.921,0.953,0.954
"Transformational_success -> IMPL_SUCC_1",0.981,0.951,0.983,0.982
"Transformational_success -> EMPL_BEL_10",0.736,0.718,0.737,0.739
"Deployment_success -> ACT_INTG_7",1.511,1.315,1.533,1.49
"Improvement_Proj_success -> TASK_COMP_3",1.133,1.06,1.14,1.137
"Improvement_Readiness -> CONTX_CUS_14",0.961,0.976,0.96,0.959
"Improvement_Readiness -> EFT_REQ_15",0.862,0.872,0.861,0.856
"Improvement_Readiness -> EMP_ENG_12",0.772,0.783,0.772,0.763
"Improvement_Readiness -> EXP_CON_20",0.685,0.697,0.684,0.682
"Improvement_Readiness -> CUS_IDEF_26",0.735,0.75,0.734,0.734
"Sust_Impr_Infrasturcture -> PAT_RES_24",0.893,0.914,0.891,0.896
"Sust_Impr_Infrasturcture -> WKF_SKL_19",0.991,1.02,0.984,1.02
"Sust_Impr_Infrasturcture -> RES_AVL_4",0.8,0.826,0.796,0.82
"Supportive_Leadership -> LD_INV_5",0.977,0.988,0.976,0.978
"Supportive_Leadership -> LD_SUP_1",0.919,0.934,0.918,0.917
"Meas_based_improvement -> DEF_MEA_7",1.191,1.236,1.187,1.188
"Meas_based_improvement -> PRJ_SEL_6",1.117,1.173,1.105,1.151
"Change_awareness -> UND_CNG_22",0.511,0.555,0.513,0.527
"Improvement_Readiness -> Transformational_success",0.348,0.331,0.334,0.401
"Sust_Impr_Infrasturcture -> Transformational_success",0.118,0.132,0.121,0
"Supportive_Leadership -> Transformational_success",0.24,0.236,0.228,0.248
"Meas_based_improvement -> Transformational_success",0.029,0.079,0.057,0
"Change_awareness -> Transformational_success",0.214,0.275,0.211,0.255
"Improvement_Readiness -> Deployment_success",0,-0.143,0,0
"Sust_Impr_Infrasturcture -> Deployment_success",0.414,0.54,0.387,0.464
"Supportive_Leadership -> Deployment_success",0.049,0.1,0.05,0
"Meas_based_improvement -> Deployment_success",0.001,0.075,0.019,0
"Change_awareness -> Deployment_success",0.167,0.22,0.165,0.167
"Improvement_Readiness -> Improvement_Proj_success",0.159,0.193,0.162,0.106
"Sust_Impr_Infrasturcture -> Improvement_Proj_success",0,-0.095,0,0
"Supportive_Leadership -> Improvement_Proj_success",0.259,0.292,0.261,0.221
"Meas_based_improvement -> Improvement_Proj_success",0.406,0.503,0.371,0.563
"Change_awareness -> Improvement_Proj_success",0.06,0.102,0.076,0
"EMPL_SAT_9 ~~ EMPL_SAT_9",0.237,0.231,0.238,0.233
"ORG_IMP_12 ~~ ORG_IMP_12",0.214,0.217,0.213,0.216
"STAKEH_ACC_4 ~~ STAKEH_ACC_4",0.365,0.366,0.365,0.367
"EMPL_SKI_8 ~~ EMPL_SKI_8",0.323,0.325,0.323,0.324
"DEC_IMP_13 ~~ DEC_IMP_13",0.355,0.355,0.355,0.36
"BUSI_IMP_11 ~~ BUSI_IMP_11",0.343,0.345,0.343,0.341
"IMPL_SUCC_1 ~~ IMPL_SUCC_1",0.302,0.303,0.302,0.302
"EMPL_BEL_10 ~~ EMPL_BEL_10",0.6,0.596,0.601,0.598
"DEPLOY_6 ~~ DEPLOY_6",0.518,0.481,0.522,0.514
"ACT_INTG_7 ~~ ACT_INTG_7",0.046,0.112,0.04,0.053
"BUDG_COMP_2 ~~ BUDG_COMP_2",0.35,0.335,0.351,0.353
"TASK_COMP_3 ~~ TASK_COMP_3",0.238,0.254,0.236,0.234
"TOOL_AP_13 ~~ TOOL_AP_13",0.231,0.234,0.231,0.229
"CONTX_CUS_14 ~~ CONTX_CUS_14",0.27,0.269,0.27,0.268
"EFT_REQ_15 ~~ EFT_REQ_15",0.41,0.414,0.41,0.414
"EMP_ENG_12 ~~ EMP_ENG_12",0.524,0.525,0.523,0.532
"EXP_CON_20 ~~ EXP_CON_20",0.622,0.62,0.622,0.622
"CUS_IDEF_26 ~~ CUS_IDEF_26",0.567,0.563,0.568,0.565
"TRA_EDUC_18 ~~ TRA_EDUC_18",0.343,0.35,0.34,0.356
"PAT_RES_24 ~~ PAT_RES_24",0.449,0.455,0.445,0.467
"WKF_SKL_19 ~~ WKF_SKL_19",0.325,0.324,0.327,0.312
"RES_AVL_4 ~~ RES_AVL_4",0.554,0.552,0.555,0.551
"LD_STL_9 ~~ LD_STL_9",0.232,0.232,0.231,0.234
"LD_INV_5 ~~ LD_INV_5",0.246,0.25,0.246,0.244
"LD_SUP_1 ~~ LD_SUP_1",0.331,0.327,0.331,0.332
"DAT_QLT_11 ~~ DAT_QLT_11",0.463,0.474,0.46,0.476
"DEF_MEA_7 ~~ DEF_MEA_7",0.195,0.203,0.189,0.223
"PRJ_SEL_6 ~~ PRJ_SEL_6",0.29,0.281,0.295,0.27
"EMP_ATT_3 ~~ EMP_ATT_3",0.133,0.202,0.136,0.169
"UND_CNG_22 ~~ UND_CNG_22",0.76,0.744,0.759,0.754
"Transformational_success ~~ Transformational_success",0.167,0.166,0.167,0.168
"Deployment_success ~~ Deployment_success",0.157,0.154,0.156,0.157
"Improvement_Proj_success ~~ Improvement_Proj_success",0.137,0.132,0.138,0.131
"Improvement_Readiness ~~ Improvement_Readiness",0.774,0.751,0.776,0.778
"Sust_Impr_Infrasturcture ~~ Sust_Impr_Infrasturcture",0.673,0.635,0.679,0.644
"Supportive_Leadership ~~ Supportive_Leadership",0.775,0.753,0.777,0.774
"Meas_based_improvement ~~ Meas_based_improvement",0.557,0.511,0.565,0.538
"Change_awareness ~~ Change_awareness",0.862,0.783,0.86,0.831
"Improvement_Readiness ~~ Sust_Impr_Infrasturcture",0.463,0.451,0.465,0.463
"Improvement_Readiness ~~ Supportive_Leadership",0.544,0.528,0.546,0.547
"Improvement_Readiness ~~ Meas_based_improvement",0.422,0.396,0.425,0.421
"Improvement_Readiness ~~ Change_awareness",0.454,0.438,0.454,0.45
"Sust_Impr_Infrasturcture ~~ Supportive_Leadership",0.492,0.471,0.493,0.491
"Sust_Impr_Infrasturcture ~~ Meas_based_improvement",0.384,0.358,0.386,0.373
"Sust_Impr_Infrasturcture ~~ Change_awareness",0.436,0.418,0.438,0.437
"Supportive_Leadership ~~ Meas_based_improvement",0.515,0.486,0.518,0.511
"Supportive_Leadership ~~ Change_awareness",0.509,0.496,0.509,0.513
"Meas_based_improvement ~~ Change_awareness",0.433,0.408,0.433,0.441
"Transformational_success ~~ Deployment_success",0.061,0.062,0.059,0.068
"Transformational_success ~~ Improvement_Proj_success",0.021,0.012,0.021,0.021
"Deployment_success ~~ Improvement_Proj_success",0.025,0.028,0.023,0.025
