,LD_SUP,ORG_CUL,EMP_ATT,RES_AVL,LD_INV,PRJ_SEL,DEF_MEA,RES_CHG,LD_STL,ORG_CHR,DAT_QLT,EMP_ENG,TOOL_AP,CONTX_CUS,EFT_REQ,SCOPE,INSTIT,TRA_EDUC,WKF_SKL,EXP_CON,EXT_CON,UND_CNG,COM_KNW,PAT_RES,GOAL_CL,CUS_IDEF,GOAL_AL,SYS_COM,TEAM_ST
LD_SUP,1,0.74,0.48,0.46,0.7,0.5,0.55,0.42,0.72,0.51,0.41,0.4,0.45,0.44,0.36,0.43,0.56,0.5,0.44,0.39,0.22,0.28,0.22,0.34,0.42,0.37,0.47,0.44,0.58
ORG_CUL,,1,0.67,0.45,0.61,0.52,0.57,0.47,0.65,0.63,0.37,0.48,0.45,0.44,0.44,0.56,0.69,0.57,0.55,0.37,0.19,0.48,0.37,0.59,0.61,0.42,0.53,0.49,0.63
EMP_ATT,,,1,0.33,0.48,0.59,0.47,0.47,0.5,0.56,0.39,0.63,0.37,0.36,0.47,0.4,0.45,0.37,0.41,0.45,0.03,0.44,0.4,0.5,0.54,0.35,0.52,0.32,0.49
RES_AVL,,,,1,0.57,0.36,0.46,0.24,0.38,0.41,0.3,0.33,0.4,0.39,0.57,0.59,0.48,0.46,0.56,0.27,0.12,0.22,0.25,0.54,0.36,0.35,0.39,0.5,0.4
LD_INV,,,,,1,0.67,0.65,0.34,0.75,0.61,0.47,0.45,0.46,0.47,0.46,0.47,0.46,0.47,0.42,0.46,0.29,0.23,0.21,0.39,0.35,0.37,0.41,0.51,0.56
PRJ_SEL,,,,,,1,0.73,0.5,0.59,0.7,0.57,0.46,0.47,0.3,0.41,0.34,0.37,0.33,0.43,0.32,0.33,0.28,0.23,0.42,0.42,0.31,0.46,0.38,0.42
DEF_MEA,,,,,,,1,0.51,0.6,0.72,0.71,0.37,0.55,0.43,0.49,0.5,0.4,0.49,0.47,0.37,0.27,0.2,0.28,0.51,0.53,0.48,0.48,0.5,0.47
RES_CHG,,,,,,,,1,0.38,0.44,0.35,0.31,0.36,0.36,0.26,0.33,0.37,0.32,0.35,0.23,0.13,0.2,0.34,0.48,0.4,0.29,0.34,0.43,0.45
LD_STL,,,,,,,,,1,0.69,0.34,0.53,0.52,0.54,0.53,0.49,0.56,0.52,0.47,0.51,0.39,0.39,0.23,0.38,0.52,0.54,0.58,0.52,0.75
ORG_CHR,,,,,,,,,,1,0.51,0.55,0.5,0.45,0.49,0.47,0.47,0.42,0.56,0.48,0.34,0.44,0.3,0.48,0.55,0.51,0.52,0.38,0.62
DAT_QLT,,,,,,,,,,,1,0.26,0.47,0.34,0.35,0.3,0.08,0.19,0.25,0.33,0.21,0.06,0.16,0.28,0.22,0.44,0.38,0.3,0.24
EMP_ENG,,,,,,,,,,,,1,0.58,0.57,0.55,0.41,0.39,0.26,0.36,0.54,0.2,0.28,0.26,0.27,0.37,0.32,0.63,0.26,0.54
TOOL_AP,,,,,,,,,,,,,1,0.78,0.67,0.51,0.32,0.45,0.43,0.51,0.43,0.04,0.22,0.4,0.5,0.57,0.56,0.43,0.62
CONTX_CUS,,,,,,,,,,,,,,1,0.65,0.6,0.38,0.48,0.45,0.46,0.37,0.06,0.2,0.37,0.35,0.51,0.49,0.47,0.67
EFT_REQ,,,,,,,,,,,,,,,1,0.73,0.43,0.34,0.39,0.41,0.29,0.19,0.19,0.31,0.51,0.52,0.58,0.49,0.57
SCOPE,,,,,,,,,,,,,,,,1,0.56,0.5,0.54,0.39,0.3,0.33,0.4,0.44,0.58,0.54,0.52,0.48,0.57
INSTIT,,,,,,,,,,,,,,,,,1,0.65,0.59,0.28,0.1,0.49,0.35,0.58,0.56,0.29,0.51,0.37,0.49
TRA_EDUC,,,,,,,,,,,,,,,,,,1,0.68,0.45,0.2,0.21,0.46,0.65,0.59,0.42,0.38,0.42,0.45
WKF_SKL,,,,,,,,,,,,,,,,,,,1,0.36,0.28,0.23,0.34,0.53,0.45,0.37,0.43,0.48,0.5
EXP_CON,,,,,,,,,,,,,,,,,,,,1,0.26,0.17,0.39,0.26,0.41,0.47,0.52,0.15,0.53
EXT_CON,,,,,,,,,,,,,,,,,,,,,1,-0.03,-0.05,0.08,0.17,0.33,0.3,0.27,0.37
UND_CNG,,,,,,,,,,,,,,,,,,,,,,1,0.4,0.36,0.52,0.41,0.47,0.11,0.36
COM_KNW,,,,,,,,,,,,,,,,,,,,,,,1,0.43,0.55,0.27,0.4,0.26,0.35
PAT_RES,,,,,,,,,,,,,,,,,,,,,,,,1,0.67,0.38,0.37,0.36,0.41
GOAL_CL,,,,,,,,,,,,,,,,,,,,,,,,,1,0.53,0.6,0.38,0.53
CUS_IDEF,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.53,0.4,0.59
GOAL_AL,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.38,0.6
SYS_COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.62
TEAM_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
