"","Response.ID","IMPL_SUCC","CULT_INTG","BUDG_COMP","ORG_IMP","EMPL_SKI","DEPLOY","ACT_INTG","BUSI_IMP","TASK_COMP","STAKEH_ACC","EMPL_SAT","EMPL_BEL","DEC_IMP","LD_SUP","ORG_CUL","EMP_ATT","RES_AVL","LD_INV","PRJ_SEL","DEF_MEA","RES_CHG","LD_STL","ORG_CHR","DAT_QLT","EMP_ENG","TOOL_AP","CONTX_CUS","EFT_REQ","SCOPE","INSTIT","TRA_EDUC","WKF_SKL","EXP_CON","EXT_CON","UND_CNG","COM_KNW","PAT_RES","GOAL_CL","CUS_IDEF","GOAL_AL","SYS_COM","TEAM_ST"
"1",97622630,6,5,5,5,5,6,5,5,6,4,6,6,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,6,6,6,6,5,6,5,5,6,6,6,6
"2",97624424,5,5,6,6,5,5,6,5,4,6,6,5,5,6,6,4,5,5,5,6,4,6,6,6,5,5,5,5,5,6,6,5,6,5,5,6,5,4,5,6,3,6
"3",97630303,5,5,4,4,4,5,5,5,4,5,6,6,5,5,4,4,5,5,5,5,4,4,4,5,6,6,5,3,3,5,6,5,6,5,3,5,5,4,4,5,3,4
"4",98166705,4,2,4,3,3,2,2,3,2,4.515625,4,4,3,4,3,3,4,2,3,3,4,2,3,3,3,4,4,3,3,2,4,2,4,4.14516129032258,4.18461538461538,4.13846153846154,3.70769230769231,3.83076923076923,4.55384615384615,4.67692307692308,3.89230769230769,4.46153846153846
"5",98409139,4,5,5,3,3,5,5,3,5,4,2,2,2,5,4,2,2,4,4,4,4,4,4,3,4,3,3,2,2,5,4,5,3,3,2,2,2,2,2,3,4,4
"6",99224293,5,5,4,5,4,5,3,5,4,6,6,5,5,6,5,4,3,5,4,4,5,4,4,6,4,6,5,4,5,3,2,3,6,4,4,5,3,4,4,4,5,6
"7",99495427,5,5,6,6,6,4,5,2,6,5,5,5,4,5,5,5,5,5,6,5,5,6,5,5,6,6,5,5,4,5,6,5,6,4,6,5,5,5,5,6,5,5
"8",99582202,6,6,6,6,6,6,6,6,5,6,5,5,5,4,5,4,5,5,6,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6
"9",99702181,5,4,5,5,5,3,4,4,4,4,4,4,4,5,5,4,4,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4
"10",99707607,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,2,4,5,5,5,5,5,5,5,5,5,5,5,4.14516129032258,4.18461538461538,4.13846153846154,3.70769230769231,3.83076923076923,4.55384615384615,4.67692307692308,3.89230769230769,4.46153846153846
