"","IMPL_SUCC","CULT_INTG","BUDG_COMP","ORG_IMP","EMPL_SKI","DEPLOY","ACT_INTG","BUSI_IMP","TASK_COMP","STAKEH_ACC","EMPL_SAT","EMPL_BEL","DEC_IMP","LD_SUP","ORG_CUL","EMP_ATT","RES_AVL","LD_INV","PRJ_SEL","DEF_MEA","RES_CHG","LD_STL","ORG_CHR","DAT_QLT","EMP_ENG","TOOL_AP","CONTX_CUS","EFT_REQ","SCOPE","INSTIT","TRA_EDUC","WKF_SKL","EXP_CON","EXT_CON","UND_CNG","COM_KNW","PAT_RES","GOAL_CL","CUS_IDEF","GOAL_AL","SYS_COM","TEAM_ST"
"IMPL_SUCC",1,0.686219672501296,0.510016823053127,0.730057234181378,0.672469963944143,0.471450974395818,0.659906954603007,0.737925413308961,0.608656241408083,0.584784514831352,0.724490640191345,0.542384651144347,0.635206738120453,0.663221751750444,0.597749382083563,0.545058882444536,0.424573367124097,0.583592582807911,0.578473671591721,0.554980695020767,0.45194234022897,0.626293756369225,0.494046753395374,0.471316325914524,0.417694336540639,0.479828807869029,0.557028911203542,0.490637273208606,0.45641533612216,0.432250725835641,0.454524152012099,0.466608570382225,0.407243165430898,0.238289893392176,0.190447579828118,0.209236404943263,0.387999887052224,0.366923238873515,0.374541063171605,0.520940756036549,0.526628798116722,0.598203464648897
"CULT_INTG",0.686219672501296,1,0.496089045745382,0.645608528681112,0.599526486821837,0.478412860810833,0.743184925520267,0.631739010436633,0.572963757564074,0.548202883778167,0.676610556266461,0.433936299227709,0.60996416042276,0.746658763576993,0.69469325569147,0.558398312696277,0.308849004834524,0.584270584903512,0.533040624039203,0.535674788573472,0.424022884287978,0.690423512603221,0.556295028906251,0.397159340233129,0.396475265056173,0.490233422713866,0.473667724216638,0.384353449852387,0.425787581621194,0.613293688691141,0.541001927761275,0.534879518658723,0.459596981047596,0.202906714904798,0.2694889626132,0.270715480583325,0.427816776854276,0.495705007634108,0.464586490026711,0.496072600412088,0.431703811262039,0.604473991774916
"BUDG_COMP",0.510016823053127,0.496089045745382,1,0.547913848944224,0.466338176747573,0.419627576861775,0.41493990374969,0.4539940483613,0.700000613285848,0.502344712053474,0.501787159754021,0.314902750025383,0.383062013543374,0.567630500937709,0.551551959219315,0.436325310324415,0.421669583936326,0.63178214622585,0.595386525596448,0.574431508456807,0.276864612338553,0.626521658467134,0.652027805494953,0.454828497338433,0.595774877099861,0.455073991652779,0.452699962073116,0.499288728135212,0.503638923003819,0.38221414581158,0.316574819698912,0.471655018213314,0.419299240140206,0.26391421066472,0.363783915458349,0.191734499511299,0.235314891973835,0.335186674556972,0.449397403893826,0.635213174265258,0.483122221633684,0.544122101196108
"ORG_IMP",0.730057234181378,0.645608528681112,0.547913848944224,1,0.788610121434323,0.373234837660052,0.608265595427844,0.737043549512233,0.610917840717241,0.742558464266396,0.744078493299978,0.396674240151551,0.713231945136026,0.594502149233425,0.658408940404257,0.526834793185197,0.4436996733451,0.551028865120241,0.519609375780765,0.573789572817832,0.475761163025369,0.608541205258913,0.593258638051741,0.430386655051525,0.486007983583362,0.548553718263433,0.656480339195524,0.524116973080675,0.619909590959943,0.508408866184888,0.490028365036691,0.492459715925153,0.362019385471076,0.210430837233034,0.333811049894413,0.360096503671519,0.594232710674173,0.538683336323203,0.56238637417755,0.572196784277997,0.521959513396286,0.617270261820855
"EMPL_SKI",0.672469963944143,0.599526486821837,0.466338176747573,0.788610121434323,1,0.383759230671407,0.564861485071994,0.680614300652795,0.566683486125676,0.648701723767506,0.657267158050969,0.455111713575511,0.668591176361536,0.537779740863212,0.552710773167544,0.496879555708027,0.44144794595866,0.465784859942838,0.476865728672582,0.426000561811627,0.408018003690381,0.559651706669601,0.559917889795222,0.361119714795794,0.518501072765592,0.533399559619087,0.582115624765788,0.512012811714693,0.550211231329495,0.471720387941402,0.480653270275394,0.46628729466247,0.379117051897849,0.211072349110434,0.324524004249672,0.276528173976072,0.442592391754342,0.470158339397841,0.497229915964664,0.56414052623398,0.391131108070334,0.56199066000945
"DEPLOY",0.471450974395818,0.478412860810833,0.419627576861775,0.373234837660052,0.383759230671407,1,0.673427200654713,0.485926904597504,0.470502609891732,0.308210952544186,0.374099780403743,0.333674291755711,0.517984296996997,0.49268839107999,0.477833596748568,0.343723886036816,0.480877799568565,0.46438623199512,0.450831360495296,0.426803704006816,0.364667896966384,0.400567672704767,0.444759829500084,0.223802942100132,0.276624854053167,0.217761907118741,0.283844663328709,0.333803911675477,0.495701728789271,0.603395791234545,0.377008852929689,0.579074761458933,0.173263714252966,0.120222409368878,0.304875358258897,0.286195464607799,0.279812992928081,0.343390803088475,0.142875592143693,0.341409542312978,0.436027822332286,0.374547229568849
"ACT_INTG",0.659906954603007,0.743184925520267,0.41493990374969,0.608265595427844,0.564861485071994,0.673427200654713,1,0.601567763200825,0.546984234860379,0.473862174017719,0.571187841200075,0.505031112852962,0.626374610535067,0.572657286117951,0.643326039538291,0.568790324063533,0.44293102285878,0.429664609419927,0.569073061447873,0.515248789009436,0.46629326234379,0.553871202610469,0.568382597582974,0.24937389730415,0.42334690962549,0.380863404779537,0.39719334218981,0.450751816175546,0.46524135428446,0.75002316884497,0.544783489195555,0.670097590840368,0.329659804627501,0.167468222501275,0.299802829442339,0.292368761548967,0.542621117152348,0.507894414890207,0.295811728882883,0.518036852101564,0.367684041214902,0.469434866500913
"BUSI_IMP",0.737925413308961,0.631739010436633,0.4539940483613,0.737043549512233,0.680614300652795,0.485926904597504,0.601567763200825,1,0.493329247444798,0.618248340894398,0.682696346803772,0.416777818648599,0.676247448800783,0.503774922315157,0.491774269582111,0.439025125126533,0.330394949435157,0.5043625057571,0.506871528758681,0.552927808554341,0.413052907729676,0.503397394354651,0.499766390112592,0.487541801033121,0.357289471142735,0.43525006736153,0.482938018270376,0.417062982063516,0.508814324946271,0.357951775528058,0.295201181191816,0.347208904725043,0.324269133685528,0.279826324319629,0.172914566678584,0.193399289616633,0.364541994690658,0.398629725763667,0.450070793039429,0.505354104773758,0.412857299636261,0.472889533699085
"TASK_COMP",0.608656241408083,0.572963757564074,0.700000613285848,0.610917840717241,0.566683486125676,0.470502609891732,0.546984234860379,0.493329247444798,1,0.598723232878261,0.566398343359818,0.49204790981241,0.495662300110819,0.500866586096229,0.636668315413806,0.530104916098656,0.419295645486588,0.606653427681798,0.715018291807742,0.598784495150572,0.392736303653997,0.584960778960201,0.696379934520161,0.503939326206645,0.565303958459816,0.491588175320701,0.463941651689345,0.531928765886345,0.454088636077605,0.473538987724482,0.33597911853343,0.500896669391958,0.320180023351873,0.260122512302313,0.30150213261827,0.18786353706773,0.357005958242067,0.402593913667054,0.398996581723797,0.526736723182868,0.516865397370324,0.530738125099604
"STAKEH_ACC",0.584784514831352,0.548202883778167,0.502344712053474,0.742558464266396,0.648701723767506,0.308210952544186,0.473862174017719,0.618248340894398,0.598723232878261,1,0.746358382183895,0.479103319942399,0.658087949016031,0.578117227299174,0.666605523170565,0.410455331180564,0.369552780867772,0.449267432101332,0.411637930964762,0.543241169099128,0.439908054156691,0.463247287535923,0.504085260448113,0.485672243064488,0.42015492361565,0.579227670656061,0.588287035218758,0.429964018540043,0.542995439840348,0.466294684705855,0.503436706114798,0.412646274108611,0.428107768539164,0.224163147931229,0.267515715525794,0.390368610670899,0.478175115740781,0.527523225616337,0.460104940909765,0.529064327943552,0.428437541240773,0.545576707756642
