"","IMPL_SUCC_1","BUDG_COMP_2","TASK_COMP_3","STAKEH_ACC_4","DEPLOY_6","ACT_INTG_7","EMPL_SKI_8","EMPL_SAT_9","EMPL_BEL_10","BUSI_IMP_11","ORG_IMP_12","DEC_IMP_13","LD_SUP_1","EMP_ATT_3","RES_AVL_4","LD_INV_5","PRJ_SEL_6","DEF_MEA_7","LD_STL_9","DAT_QLT_11","EMP_ENG_12","TOOL_AP_13","CONTX_CUS_14","EFT_REQ_15","TRA_EDUC_18","WKF_SKL_19","EXP_CON_20","UND_CNG_22","PAT_RES_24","CUS_IDEF_26"
"1",6,5,6,4,6,5,5,6,6,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,6,6,6,5,5,6
"2",5,6,4,6,5,6,5,6,5,5,6,5,6,4,5,5,5,6,6,6,5,5,5,5,6,5,6,5,5,5
"3",5,4,4,5,5,5,4,6,6,5,4,5,5,4,5,5,5,5,4,5,6,6,5,3,6,5,6,3,5,4
"4",4,4,2,4.515625,2,2,3,4,4,3,3,3,4,3,4,2,3,3,2,3,3,4,4,3,4,2,4,4.18461538461538,3.70769230769231,4.55384615384615
"5",4,5,5,4,5,5,3,2,2,3,3,2,5,2,2,4,4,4,4,3,4,3,3,2,4,5,3,2,2,2
"6",5,4,4,6,5,3,4,6,5,5,5,5,6,4,3,5,4,4,4,6,4,6,5,4,2,3,6,4,3,4
"7",5,6,6,5,4,5,6,5,5,2,6,4,5,5,5,5,6,5,6,5,6,6,5,5,6,5,6,6,5,5
"8",6,6,5,6,6,6,6,5,5,6,6,5,4,4,5,5,6,5,5,5,5,6,6,6,6,6,6,6,5,6
"9",5,5,4,4,3,4,5,4,4,4,5,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4
"10",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4.18461538461538,3.70769230769231,4.55384615384615
"11",2,5,2,2,2,1,3,1,1,2,3,2,2,1,5,3,1,1,3,1,5,4,5,4,1,4,5,2,1,4
"12",5,2,3,5,1,5,4,5,5,4,5,5,4,4,1,2,2,2,5,1,5,5,5,5,6,3,6,4,4,5
"13",4,4,4,4,4,4,4,4,4,4,4.71212121212121,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
"14",6,5,5,5,5,5,5,5,5,6,5,5,4,4,4,4,4,4,3,4,5,5,5,4,5,5,6,3,3,3
"15",6,5,5,4,5,5,5,5,5,5,6,6,6,5,5,5,5,6,6,5,5,5,5,5,6,5,5,5,5,6
"16",5,5,4,4,4,5,5,5,5,6,5,5,4,5,5,4,4,4,4,4,5,5,4,5,5,5,5,3,5,5
"17",5,5,4,4,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,5,4,3,5
"18",4,2,3,5,5,5,5,4,5,5,5,5,3,3,5,2,2,2,2,2,4,4,5,5,3,3,2,2,4,3
"19",6,5,5,6,5,5,6,5,5,6,6,6,6,5,6,6,4,5,6,5,5,5,6,5,6,6,6,6,5,6
"20",4,2,4,4,4,4,5,4,4,5,5,4,3,4,3,4,4,4,3,4,4,4,4,3,4,3,5,3,4,4
"21",4,4,3,3,2,2,3,3,5,3,2,2,3,5,2,3,4,2,2,5,5,1,1,2,1,1,6,4,1,2
