"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"IMPL_SUCC_1",1,67,4.66,1.05,5,4.76,1.48,1,6,5,-0.99,1.31,0.13
"BUDG_COMP_2",2,67,4.71,1.19,5,4.88,1.48,1,6,5,-1.29,1.56,0.15
"TASK_COMP_3",3,67,4.12,1.22,4,4.2,1.48,1,6,5,-0.52,0.2,0.15
"STAKEH_ACC_4",4,67,4.52,1.03,4.52,4.59,0.76,1,6,5,-0.74,1.12,0.13
"CULT_INTG_5",5,67,4.31,1.31,5,4.42,1.48,1,6,5,-0.86,-0.11,0.16
"DEPLOY_6",6,67,3.79,1.44,4,3.85,1.48,1,6,5,-0.42,-0.97,0.18
"ACT_INTG_7",7,67,4.03,1.19,4,4.16,1.48,1,6,5,-0.9,0.08,0.15
"EMPL_SKI_8",8,67,4.61,1.03,5,4.71,1.48,1,6,5,-1.24,2.51,0.13
"EMPL_SAT_9",9,67,4.52,1.13,5,4.65,1.48,1,6,5,-1.16,1.49,0.14
"EMPL_BEL_10",10,67,4.51,1.11,5,4.64,1.48,1,6,5,-1.28,1.78,0.14
"BUSI_IMP_11",11,67,4.42,1.14,5,4.53,1.48,1,6,5,-0.91,0.37,0.14
"ORG_IMP_12",12,67,4.71,1.1,5,4.83,1.48,1,6,5,-1.05,1.05,0.13
"DEC_IMP_13",13,67,4.12,1.15,4,4.2,1.48,1,6,5,-0.65,-0.29,0.14
"LD_SUP_1",14,67,4.45,1.22,5,4.58,1.48,1,6,5,-0.84,0.49,0.15
"ORG_CUL_2",15,67,4.34,1.25,5,4.45,1.48,1,6,5,-0.84,0.35,0.15
"EMP_ATT_3",16,67,4.18,1.09,4,4.27,1.48,1,6,5,-0.98,1.56,0.13
"RES_AVL_4",17,67,3.88,1.3,4,3.95,1.48,1,6,5,-0.48,-0.42,0.16
"LD_INV_5",18,67,4.19,1.17,4,4.25,1.48,1,6,5,-0.37,-0.27,0.14
"PRJ_SEL_6",19,67,3.99,1.16,4,4.05,1.48,1,6,5,-0.6,-0.03,0.14
"DEF_MEA_7",20,67,4.06,1.23,4,4.18,1.48,1,6,5,-0.88,0.32,0.15
"RES_CHG_8",21,67,3.48,1.1,3,3.55,1.48,1,5,4,-0.36,-0.41,0.13
"LD_STL_9",22,67,4.07,1.23,4,4.13,1.48,1,6,5,-0.33,-0.44,0.15
"ORG_CHR_10",23,67,4.15,0.97,4,4.26,1.48,2,6,4,-0.7,-0.04,0.12
"DAT_QLT_11",24,67,4.25,1.25,4,4.36,1.48,1,6,5,-0.85,0.32,0.15
"EMP_ENG_12",25,67,4.75,1.01,5,4.84,1.48,1,6,5,-0.99,1.75,0.12
"TOOL_AP_13",26,67,4.66,1.02,5,4.76,0,1,6,5,-1.46,3.25,0.13
"CONTX_CUS_14",27,67,4.61,0.98,5,4.69,1.48,1,6,5,-1.34,3.33,0.12
"EFT_REQ_15",28,67,4.26,1.11,5,4.39,1.1,1,6,5,-0.98,0.24,0.14
"SCOPE_16",29,67,4.31,1.05,4,4.36,1.48,1,6,5,-0.72,0.53,0.13
"INSTIT_17",30,67,3.92,1.37,4,4.02,1.48,1,6,5,-0.59,-0.36,0.17
"TRA_EDUC_18",31,67,4.48,1.33,5,4.62,1.48,1,6,5,-0.75,0.11,0.16
"WKF_SKL_19",32,67,4.04,1.17,4,4.11,1.48,1,6,5,-0.58,0.16,0.14
"EXP_CON_20",33,67,4.96,1.24,5,5.15,1.48,1,6,5,-1.2,0.76,0.15
"EXT_CON_21",34,67,4.15,1.29,4,4.25,1.48,1,6,5,-0.73,0.25,0.16
"UND_CNG_22",35,67,4.18,1.29,4,4.28,1.48,1,6,5,-0.63,-0.02,0.16
"COM_KNW_23",36,67,4.14,1.24,4,4.21,1.48,1,6,5,-0.4,-0.21,0.15
"PAT_RES_24",37,67,3.71,1.1,4,3.83,1.48,1,5,4,-0.77,0.1,0.13
"GOAL_CL_25",38,67,3.83,1.19,4,3.88,1.48,1,6,5,-0.48,-0.07,0.15
"CUS_IDEF_26",39,67,4.55,1.04,4.55,4.62,0.82,2,6,4,-0.38,-0.23,0.13
"GOAL_AL_27",40,67,4.68,1.1,5,4.79,1.48,1,6,5,-0.75,0.73,0.13
"SYS_COM_28",41,67,3.89,1.22,4,3.94,1.48,1,6,5,-0.49,-0.13,0.15
"TEAM_ST_29",42,67,4.46,1.21,4.46,4.56,0.8,1,6,5,-0.67,0.37,0.15
